STATE;STATENAME;ST_CASE;VE_TOTAL;VE_FORMS;PVH_INVL;PEDS;PERSONS;PERMVIT;PERNOTMVIT;COUNTY;COUNTYNAME;CITY;CITYNAME;DAY;DAYNAME;MONTH;MONTHNAME;YEAR;DAY_WEEK;DAY_WEEKNAME;HOUR;HOURNAME;MINUTE;MINUTENAME;NHS;NHSNAME;ROUTE;ROUTENAME;TWAY_ID;TWAY_ID2;RUR_URB;RUR_URBNAME;FUNC_SYS;FUNC_SYSNAME;RD_OWNER;RD_OWNERNAME;MILEPT;MILEPTNAME;LATITUDE;LATITUDENAME;LONGITUD;LONGITUDNAME;SP_JUR;SP_JURNAME;HARM_EV;HARM_EVNAME;MAN_COLL;MAN_COLLNAME;RELJCT1;RELJCT1NAME;RELJCT2;RELJCT2NAME;TYP_INT;TYP_INTNAME;WRK_ZONE;WRK_ZONENAME;REL_ROAD;REL_ROADNAME;LGT_COND;LGT_CONDNAME;WEATHER1;WEATHER1NAME;WEATHER2;WEATHER2NAME;WEATHER;WEATHERNAME;SCH_BUS;SCH_BUSNAME;RAIL;RAILNAME;NOT_HOUR;NOT_HOURNAME;NOT_MIN;NOT_MINNAME;ARR_HOUR;ARR_HOURNAME;ARR_MIN;ARR_MINNAME;HOSP_HR;HOSP_HRNAME;HOSP_MN;HOSP_MNNAME;CF1;CF1NAME;CF2;CF2NAME;CF3;CF3NAME;FATALS;DRUNK_DR
1;Alabama;10009;1;1;0;0;1;1;0;3;BALDWIN (3);1493;GULF SHORES;8;8;2;February;2019;6;Friday;7;7:00am-7:59am;53;53;0;This section IS NOT on the NHS;6;Local Street - Municipality;EAST 5TH ST;HWY 180;2;Urban;4;Minor Arterial;4;City or Municipal Highway Agency;0;None;30.279125;30.279125;-87.67710833;-87.67710833;0;No Special Jurisdiction;3;Immersion or Partial Immersion;0;The First Harmful Event was Not a Collision with a Motor Vehicle in Transport;0;No;3;Intersection-Related;3;T-Intersection;0;None;4;On Roadside;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;7;7:00am-7:59am;53;53;7;7:00am-7:59am;59;59;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
1;Alabama;10017;2;2;0;0;2;2;0;73;JEFFERSON (73);1315;GARDENDALE;7;7;1;January;2019;2;Monday;14;2:00pm-2:59pm;15;15;0;This section IS NOT on the NHS;2;U.S. Highway;US-31 SR-3;VULCAN DR;2;Urban;4;Minor Arterial;1;State Highway Agency;2850;2850;33.65531389;33.65531389;-86.81105833;-86.81105833;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;14;2:00pm-2:59pm;16;16;14;2:00pm-2:59pm;22;22;14;2:00pm-2:59pm;52;52;0;None;0;None;0;None;1;0
1;Alabama;10024;1;1;0;0;1;1;0;49;DEKALB (49);0;NOT APPLICABLE;11;11;1;January;2019;6;Friday;13;1:00pm-1:59pm;38;38;0;This section IS NOT on the NHS;4;County Road;CR-140;US-11;1;Rural;5;Major Collector;2;County Highway Agency;0;None;34.69541111;34.69541111;-85.56583056;-85.56583056;0;No Special Jurisdiction;18;Other Object (not fixed);0;The First Harmful Event was Not a Collision with a Motor Vehicle in Transport;0;No;3;Intersection-Related;3;T-Intersection;0;None;4;On Roadside;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;13;1:00pm-1:59pm;38;38;13;1:00pm-1:59pm;49;49;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
1;Alabama;10025;3;3;0;0;3;3;0;89;MADISON (89);1730;HUNTSVILLE;11;11;1;January;2019;6;Friday;7;7:00am-7:59am;49;49;0;This section IS NOT on the NHS;6;Local Street - Municipality;OAKWOOD AVE;GRACE ST;2;Urban;5;Major Collector;4;City or Municipal Highway Agency;0;None;34.74935;34.74935;-86.59455556;-86.59455556;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;1;Front-to-Rear;0;No;3;Intersection-Related;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;7;7:00am-7:59am;49;49;7;7:00am-7:59am;52;52;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);14;Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle;0;None;0;None;1;0
1;Alabama;10030;1;1;0;0;1;1;0;117;SHELBY (117);2405;PELHAM;14;14;1;January;2019;2;Monday;1;1:00am-1:59am;9;9;1;This section IS ON the NHS;2;U.S. Highway;US-31 SR-3;CR-52;2;Urban;3;Principal Arterial - Other;1;State Highway Agency;0;None;33.28565;33.28565;-86.81019722;-86.81019722;0;No Special Jurisdiction;33;Curb;0;The First Harmful Event was Not a Collision with a Motor Vehicle in Transport;0;No;3;Intersection-Related;3;T-Intersection;0;None;4;On Roadside;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;1;1:00am-1:59am;9;9;1;1:00am-1:59am;12;12;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
1;Alabama;10057;1;1;0;0;1;1;0;125;TUSCALOOSA (125);3050;TUSCALOOSA;29;29;1;January;2019;3;Tuesday;5;5:00am-5:59am;15;15;0;This section IS NOT on the NHS;6;Local Street - Municipality;LOOP RD;HARGROVE RD;2;Urban;4;Minor Arterial;4;City or Municipal Highway Agency;0;None;33.18552778;33.18552778;-87.51325278;-87.51325278;0;No Special Jurisdiction;33;Curb;0;The First Harmful Event was Not a Collision with a Motor Vehicle in Transport;0;No;3;Intersection-Related;3;T-Intersection;0;None;4;On Roadside;3;Dark - Lighted;2;Rain;0;No Additional Atmospheric Conditions;2;Rain;0;No;0;Not Applicable;99;Unknown;99;Unknown;12;12:00pm-12:59pm;20;20;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
1;Alabama;10062;2;2;0;0;2;2;0;101;MONTGOMERY (101);2130;MONTGOMERY;30;30;1;January;2019;4;Wednesday;17;5:00pm-5:59pm;35;35;0;This section IS NOT on the NHS;6;Local Street - Municipality;MOBILE HWY;WESTGATE ST;2;Urban;7;Local;4;City or Municipal Highway Agency;0;None;32.34286944;32.34286944;-86.33990556;-86.33990556;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;2;Front-to-Front;0;No;3;Intersection-Related;3;T-Intersection;0;None;1;On Roadway;3;Dark - Lighted;10;Cloudy;0;No Additional Atmospheric Conditions;10;Cloudy;0;No;0;Not Applicable;17;5:00pm-5:59pm;44;44;17;5:00pm-5:59pm;47;47;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;1
1;Alabama;10090;2;2;0;0;6;6;0;101;MONTGOMERY (101);2130;MONTGOMERY;17;17;2;February;2019;1;Sunday;18;6:00pm-6:59pm;48;48;1;This section IS ON the NHS;6;Local Street - Municipality;EASTERN BLVD;BUCKBOARD RD;2;Urban;3;Principal Arterial - Other;4;City or Municipal Highway Agency;0;None;32.33536111;32.33536111;-86.22871111;-86.22871111;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;18;6:00pm-6:59pm;57;57;19;7:00pm-7:59pm;1;1;19;7:00pm-7:59pm;16;16;0;None;0;None;0;None;1;1
1;Alabama;10101;5;2;3;2;4;4;2;59;FRANKLIN (59);2690;RUSSELLVILLE;2;2;3;March;2019;7;Saturday;11;11:00am-11:59am;22;22;1;This section IS ON the NHS;3;State Highway;SR-13;GANDY ST;2;Urban;3;Principal Arterial - Other;1;State Highway Agency;2956;2956;34.509725;34.509725;-87.71728333;-87.71728333;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;2;Intersection;3;T-Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;11;11:00am-11:59am;22;22;11;11:00am-11:59am;22;22;99;Unknown;99;Unknown EMS Hospital Arrival Time;15;Non-occupant struck by falling cargo, or something that came loose from, or something that was set in motion by a vehicle;14;Motor Vehicle struck by falling cargo,or something that came loose from or something that was set in motion by a vehicle;0;None;1;0
1;Alabama;10138;1;1;0;1;1;1;1;101;MONTGOMERY (101);2130;MONTGOMERY;17;17;3;March;2019;1;Sunday;23;11:00pm-11:59pm;43;43;1;This section IS ON the NHS;6;Local Street - Municipality;W SOUTH BLVD;SASSAFRAS CIR;2;Urban;3;Principal Arterial - Other;1;State Highway Agency;0;None;32.32668333;32.32668333;-86.33122778;-86.33122778;0;No Special Jurisdiction;8;Pedestrian;0;The First Harmful Event was Not a Collision with a Motor Vehicle in Transport;0;No;3;Intersection-Related;3;T-Intersection;0;None;1;On Roadway;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;23;11:00pm-11:59pm;43;43;23;11:00pm-11:59pm;50;50;99;Unknown;99;Unknown EMS Hospital Arrival Time;0;None;0;None;0;None;1;0
